age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
33,1,2500,Célibataire,Consulting,Assistant de Direction,0,4,3,1,3,3,1,4,1,4,3,0,0,0,2,2,3,Infra & Cloud,1.5,0,2
19,1,1102,Célibataire,Consulting,Consultant,1,1,1,0,2,2,1,4,3,2,4,0,1,0,3,2,3,Infra & Cloud,1.5,1,0
46,0,10453,Divorcé(e),Commercial,Cadre Commercial,1,24,24,13,2,3,3,1,3,3,4,0,0,3,2,1,2,Marketing,1.5,15,7
38,0,2288,Célibataire,Consulting,Consultant,1,2,2,2,3,3,1,4,3,3,3,0,0,0,3,9,2,Infra & Cloud,1.5,2,1
31,0,3929,Marié(e),Consulting,Assistant de Direction,8,7,4,2,3,3,1,4,3,3,4,1,0,1,0,12,1,Transformation Digitale,1.5,0,2
34,0,2311,Célibataire,Consulting,Assistant de Direction,2,9,3,2,4,3,1,2,4,3,3,0,0,0,3,27,2,Transformation Digitale,1.5,1,2
41,0,3140,Célibataire,Commercial,Représentant Commercial,1,4,4,3,2,3,1,2,4,2,4,1,1,0,5,20,2,Marketing,1.5,0,2
50,1,3690,Marié(e),Consulting,Consultant,2,5,3,2,3,2,1,3,4,2,3,0,0,1,2,1,3,Transformation Digitale,1.5,0,2
53,0,4450,Divorcé(e),Consulting,Tech Lead,1,5,4,2,4,4,2,1,3,3,3,0,0,2,3,13,2,Transformation Digitale,1.5,1,3
33,0,2756,Marié(e),Consulting,Assistant de Direction,1,8,8,7,4,3,1,2,4,3,3,0,0,1,5,14,3,Transformation Digitale,1.5,1,6
40,0,19033,Marié(e),Consulting,Senior Manager,1,21,20,8,4,3,5,3,2,3,3,0,0,1,2,4,1,Transformation Digitale,1.5,9,9
55,1,18722,Célibataire,Consulting,Directeur Technique,8,36,24,15,3,4,5,2,4,3,3,0,0,0,3,14,4,Transformation Digitale,1.5,2,15
34,1,9547,Marié(e),Consulting,Tech Lead,1,10,10,9,4,2,2,3,3,2,3,0,0,0,2,2,1,Infra & Cloud,2.0,1,9
51,0,13734,Célibataire,Consulting,Manager,3,21,7,7,4,3,4,2,3,3,3,0,0,0,6,3,3,Transformation Digitale,1.5,1,0
52,1,19999,Marié(e),Consulting,Senior Manager,0,34,33,18,3,2,5,3,1,3,3,0,0,1,5,1,4,Infra & Cloud,1.5,11,9
27,0,2279,Célibataire,Consulting,Assistant de Direction,1,7,7,7,4,3,1,2,4,2,3,0,0,0,2,9,3,Transformation Digitale,1.5,0,3
35,1,5916,Marié(e),Consulting,Tech Lead,3,8,1,0,2,2,2,3,1,3,3,1,1,0,1,23,2,Infra & Cloud,1.5,0,1
43,1,2089,Divorcé(e),Consulting,Assistant de Direction,4,7,5,4,4,4,1,4,4,4,3,0,0,3,3,7,3,Transformation Digitale,1.0,2,2
45,1,16792,Marié(e),Consulting,Senior Manager,9,22,20,8,1,2,4,4,4,3,4,0,0,1,1,2,2,Transformation Digitale,1.0,11,8
37,1,3564,Marié(e),Consulting,Assistant de Direction,1,8,8,7,2,4,1,1,1,2,3,1,0,1,3,21,3,Infra & Cloud,1.5,1,7
35,0,4425,Célibataire,Consulting,Consultant,5,10,6,2,2,3,2,2,4,3,3,0,0,0,5,2,3,Transformation Digitale,2.0,1,2
42,0,5265,Divorcé(e),Consulting,Tech Lead,2,11,5,3,3,3,2,3,2,3,3,0,0,1,5,21,2,Transformation Digitale,1.0,0,2
38,1,6553,Marié(e),Consulting,Tech Lead,9,14,1,0,4,3,2,3,2,3,3,0,0,0,3,2,4,Infra & Cloud,1.5,0,0
38,1,6261,Marié(e),Consulting,Tech Lead,3,9,7,7,4,3,2,4,1,1,3,0,0,1,3,29,3,Entrepreunariat,1.5,1,7
27,1,4298,Marié(e),Consulting,Tech Lead,5,6,2,2,3,2,2,1,3,3,3,0,0,1,1,1,1,Entrepreunariat,2.0,2,0
49,1,6804,Divorcé(e),Consulting,Tech Lead,1,7,7,7,4,3,2,4,1,3,3,1,0,2,0,18,4,Infra & Cloud,1.0,1,7
34,1,3815,Divorcé(e),Consulting,Assistant de Direction,1,5,5,3,4,3,1,3,4,4,3,1,0,1,4,10,4,Transformation Digitale,2.0,2,0
40,1,2741,Marié(e),Consulting,Consultant,8,15,7,2,3,3,2,4,3,4,3,1,0,1,2,19,2,Transformation Digitale,1.5,3,7
38,1,6673,Marié(e),Consulting,Manager,7,17,1,0,2,3,2,1,2,3,3,1,1,0,2,29,1,Transformation Digitale,1.5,0,0
29,0,7639,Marié(e),Commercial,Cadre Commercial,1,10,10,4,2,3,3,4,4,2,4,0,1,3,3,27,3,Marketing,1.5,1,9
22,1,2328,Divorcé(e),Consulting,Assistant de Direction,1,4,4,2,4,4,1,2,1,2,3,1,0,1,2,5,3,Infra & Cloud,1.5,2,2
36,0,2153,Célibataire,Consulting,Consultant,1,8,8,1,2,3,1,4,1,3,3,0,0,0,2,18,1,Transformation Digitale,2.0,1,7
40,1,4876,Marié(e),Consulting,Manager,9,5,3,2,4,2,2,4,4,1,3,0,0,1,5,9,5,Infra & Cloud,1.0,0,2
46,1,9396,Divorcé(e),Consulting,Manager,7,17,4,2,4,3,3,1,3,3,3,0,0,1,3,1,4,Transformation Digitale,1.5,0,3
32,1,10400,Marié(e),Commercial,Cadre Commercial,1,14,14,8,4,1,3,4,3,2,3,0,1,0,2,4,4,Transformation Digitale,1.5,9,8
30,1,8474,Célibataire,Consulting,Tech Lead,1,12,11,8,3,2,3,3,3,3,4,0,0,0,2,1,1,Infra & Cloud,1.0,5,8
27,0,9981,Célibataire,Commercial,Cadre Commercial,1,7,7,7,4,3,2,3,4,3,3,0,0,0,2,20,3,Infra & Cloud,2.0,0,7
51,1,12490,Marié(e),Consulting,Directeur Technique,5,16,10,9,2,2,3,2,4,1,3,0,0,2,5,8,4,Infra & Cloud,1.5,4,7
30,0,2657,Célibataire,Consulting,Assistant de Direction,5,8,5,2,4,3,1,1,3,3,3,1,1,0,5,3,3,Entrepreunariat,1.5,0,4
41,0,13591,Célibataire,Commercial,Senior Manager,3,16,1,0,4,3,3,4,3,3,3,1,0,0,3,6,3,Infra & Cloud,1.5,0,0
30,0,6696,Célibataire,Commercial,Cadre Commercial,5,9,6,3,3,2,2,1,3,2,3,0,1,0,5,26,4,Marketing,2.0,0,1
29,1,2058,Célibataire,Consulting,Assistant de Direction,0,7,6,2,3,3,1,3,4,2,3,0,1,0,1,1,3,Entrepreunariat,1.5,1,5
45,0,8865,Célibataire,Commercial,Cadre Commercial,6,23,19,7,4,2,3,4,4,3,3,0,0,0,2,6,3,Transformation Digitale,1.0,12,8
54,0,5940,Marié(e),Commercial,Cadre Commercial,2,16,6,2,4,3,2,1,4,3,3,0,0,1,4,3,3,Marketing,1.5,0,5
36,1,5914,Célibataire,Consulting,Consultant,8,16,13,11,4,3,2,2,4,4,3,0,0,0,3,5,2,Infra & Cloud,1.5,3,7
33,0,2622,Marié(e),Consulting,Assistant de Direction,6,7,3,2,3,2,1,2,4,3,4,0,0,0,3,4,4,Transformation Digitale,1.5,1,1
37,1,12185,Divorcé(e),Consulting,Directeur Technique,1,10,10,8,2,3,3,4,3,3,3,1,0,3,1,11,3,Autre,2.0,0,7
38,1,10609,Divorcé(e),Commercial,Cadre Commercial,0,17,16,10,1,3,3,3,3,2,3,0,0,2,6,3,3,Infra & Cloud,1.5,5,13
31,1,4345,Marié(e),Consulting,Tech Lead,0,6,5,4,3,1,2,3,4,3,3,0,0,1,2,1,4,Transformation Digitale,1.0,1,4
59,1,2177,Marié(e),Consulting,Assistant de Direction,3,7,1,0,3,2,1,4,1,3,3,0,0,1,6,3,3,Infra & Cloud,1.5,0,0
37,1,2793,Divorcé(e),Commercial,Représentant Commercial,4,13,9,8,1,3,1,4,3,3,3,0,0,1,2,4,4,Marketing,2.0,5,8
29,0,7918,Marié(e),Commercial,Cadre Commercial,1,11,11,10,2,3,3,4,4,3,3,0,0,1,5,1,1,Transformation Digitale,2.0,4,1
35,0,8789,Célibataire,Commercial,Cadre Commercial,1,10,10,7,3,3,3,3,1,4,3,0,0,0,3,1,3,Marketing,2.0,0,8
29,1,2389,Célibataire,Consulting,Assistant de Direction,1,4,4,3,3,2,1,4,3,2,3,1,1,0,3,18,1,Transformation Digitale,1.5,0,1
52,0,3212,Célibataire,Consulting,Consultant,7,6,2,2,3,2,1,4,2,2,3,0,0,0,3,2,3,Infra & Cloud,1.5,2,2
42,1,19232,Marié(e),Consulting,Senior Manager,1,22,22,17,3,3,5,4,4,3,3,0,0,0,3,4,2,Entrepreunariat,1.5,11,15
59,1,2267,Marié(e),Ressources Humaines,Ressources Humaines,8,7,2,2,2,3,1,3,4,2,3,0,0,0,2,6,2,Transformation Digitale,1.5,2,2
50,0,19517,Divorcé(e),Commercial,Senior Manager,3,32,7,0,4,3,5,4,3,2,3,0,0,1,3,1,4,Transformation Digitale,1.5,0,6
33,1,2436,Marié(e),Consulting,Consultant,5,8,5,4,3,3,1,4,3,1,3,1,1,1,2,14,3,Transformation Digitale,1.5,0,4
43,0,16064,Marié(e),Commercial,Senior Manager,5,22,17,13,4,3,4,4,3,3,4,1,0,1,3,16,3,Marketing,1.5,1,9
33,0,2707,Marié(e),Consulting,Consultant,7,13,9,7,1,3,1,1,1,4,4,0,1,0,3,2,2,Infra & Cloud,1.5,1,7
52,1,19068,Célibataire,Commercial,Senior Manager,1,33,33,7,1,2,5,3,4,4,3,1,0,0,2,2,4,Infra & Cloud,1.0,15,12
32,0,3931,Marié(e),Commercial,Représentant Commercial,2,6,4,3,3,3,1,2,1,3,3,0,0,1,5,4,2,Infra & Cloud,1.5,1,2
32,1,3730,Célibataire,Consulting,Consultant,0,4,3,2,4,2,1,3,4,1,3,1,1,0,2,1,3,Infra & Cloud,1.5,1,2
39,0,2232,Divorcé(e),Consulting,Consultant,7,7,3,2,3,3,1,3,3,3,3,0,0,3,1,1,4,Transformation Digitale,1.5,1,2
32,1,4465,Marié(e),Commercial,Cadre Commercial,0,4,3,2,3,3,2,4,1,3,3,0,0,0,2,26,4,Marketing,1.0,2,2
41,1,3072,Divorcé(e),Consulting,Assistant de Direction,2,17,1,0,3,3,2,1,1,2,3,0,0,2,2,19,2,Infra & Cloud,1.5,0,0
40,1,3319,Divorcé(e),Consulting,Assistant de Direction,1,9,9,8,1,3,2,4,1,3,3,0,0,2,3,24,2,Entrepreunariat,1.5,4,7
45,1,19202,Marié(e),Consulting,Senior Manager,0,25,24,0,3,4,5,4,3,3,3,0,0,1,2,1,3,Autre,1.5,1,7
31,1,13675,Divorcé(e),Consulting,Directeur Technique,9,9,2,2,2,3,3,3,1,3,3,0,0,1,3,3,4,Transformation Digitale,2.0,2,2
33,0,2911,Marié(e),Consulting,Assistant de Direction,1,2,2,2,3,2,1,4,3,2,3,0,0,1,2,5,4,Infra & Cloud,1.5,0,2
34,1,5957,Marié(e),Consulting,Tech Lead,6,13,11,9,4,2,2,1,2,3,3,0,0,1,3,2,4,Infra & Cloud,1.5,5,9
37,0,3920,Marié(e),Consulting,Assistant de Direction,2,17,3,1,3,2,1,1,1,2,3,0,0,1,2,1,2,Transformation Digitale,1.5,0,2
45,1,6434,Marié(e),Consulting,Tech Lead,4,9,3,2,1,4,2,3,4,3,3,0,0,1,1,7,4,Infra & Cloud,2.0,0,2
37,1,10048,Divorcé(e),Consulting,Tech Lead,6,17,1,0,1,3,3,3,2,3,3,0,1,2,5,10,3,Transformation Digitale,2.0,0,0
39,0,10938,Célibataire,Consulting,Manager,0,20,19,6,3,3,3,3,4,3,4,0,0,0,1,2,4,Entrepreunariat,2.0,11,8
29,1,2340,Célibataire,Consulting,Assistant de Direction,1,6,6,5,3,3,1,4,1,3,3,0,0,0,1,15,3,Infra & Cloud,1.5,1,5
42,0,6545,Célibataire,Consulting,Assistant de Direction,3,10,3,2,4,4,2,1,3,3,3,1,0,0,1,17,2,Infra & Cloud,1.5,0,2
29,1,6931,Divorcé(e),Commercial,Cadre Commercial,2,10,3,2,4,3,2,4,4,3,3,0,0,1,2,20,2,Marketing,1.5,0,2
25,0,4898,Marié(e),Consulting,Tech Lead,0,5,4,2,1,3,2,3,4,3,3,0,0,2,3,1,3,Infra & Cloud,1.5,1,2
42,0,2593,Divorcé(e),Consulting,Consultant,0,10,9,6,4,2,1,1,3,3,3,1,0,1,4,2,3,Transformation Digitale,1.5,7,8
40,1,19436,Divorcé(e),Consulting,Directeur Technique,0,22,21,7,1,3,5,3,4,3,3,0,0,1,5,2,2,Transformation Digitale,1.5,3,9
51,1,2723,Marié(e),Consulting,Assistant de Direction,1,1,1,0,3,3,1,4,2,2,3,0,0,0,0,1,3,Infra & Cloud,1.5,0,0
31,1,3479,Célibataire,Consulting,Consultant,0,6,5,4,3,2,1,2,2,4,3,0,1,0,2,29,2,Transformation Digitale,2.0,1,4
32,1,2794,Marié(e),Consulting,Consultant,1,5,5,1,2,4,1,2,3,1,4,0,0,0,3,7,3,Infra & Cloud,2.0,0,3
38,1,5249,Marié(e),Commercial,Cadre Commercial,3,13,8,7,4,2,2,4,4,3,3,0,0,1,0,2,2,Infra & Cloud,1.0,7,5
32,1,2176,Célibataire,Consulting,Consultant,4,9,6,2,4,2,2,1,4,3,3,0,0,0,5,2,1,Entrepreunariat,1.5,0,4
46,0,16872,Marié(e),Commercial,Senior Manager,3,28,7,7,3,1,4,2,2,2,3,1,0,1,2,2,3,Entrepreunariat,1.5,7,7
28,1,3485,Célibataire,Consulting,Consultant,2,5,0,0,1,3,1,3,3,1,3,0,1,0,5,2,4,Infra & Cloud,1.5,0,0
29,1,6644,Marié(e),Commercial,Cadre Commercial,2,10,0,0,1,2,2,2,2,3,3,0,0,2,2,2,3,Transformation Digitale,1.5,0,0
31,1,5582,Marié(e),Consulting,Manager,0,10,9,0,2,2,2,4,2,3,4,0,0,1,2,23,3,Transformation Digitale,1.5,7,8
25,1,4000,Divorcé(e),Consulting,Manager,1,6,6,3,2,4,2,1,4,3,3,0,0,2,2,5,2,Infra & Cloud,1.0,1,5
45,1,13496,Marié(e),Consulting,Manager,0,21,20,7,3,3,4,4,2,3,3,1,0,0,2,20,2,Transformation Digitale,1.5,4,10
36,1,3210,Marié(e),Consulting,Consultant,0,16,15,13,4,3,1,4,3,3,3,0,0,1,4,6,3,Infra & Cloud,1.5,10,11
55,1,19045,Célibataire,Consulting,Senior Manager,0,37,36,10,4,3,5,1,3,3,3,1,0,0,2,1,3,Transformation Digitale,1.5,4,13
47,1,11849,Marié(e),Consulting,Senior Manager,1,10,10,7,1,3,3,2,4,2,3,1,1,1,2,29,4,Infra & Cloud,1.0,9,9
28,1,2070,Marié(e),Consulting,Assistant de Direction,1,5,5,2,4,3,1,4,4,2,4,0,0,1,3,9,3,Transformation Digitale,1.5,0,4
37,1,6502,Marié(e),Commercial,Cadre Commercial,4,7,5,4,3,3,2,4,2,4,3,0,0,1,5,6,4,Transformation Digitale,1.5,0,1
21,1,3230,Célibataire,Consulting,Assistant de Direction,1,3,3,2,4,2,1,3,1,4,3,0,0,0,4,3,2,Transformation Digitale,1.5,1,0
37,0,13603,Divorcé(e),Consulting,Directeur Technique,2,15,5,2,1,3,3,4,1,3,3,1,0,2,2,1,4,Transformation Digitale,1.0,0,2
35,0,11996,Divorcé(e),Consulting,Senior Manager,7,10,7,7,2,4,3,2,2,2,3,0,0,1,6,22,3,Infra & Cloud,1.5,6,2
38,0,5605,Divorcé(e),Commercial,Cadre Commercial,1,8,8,0,1,4,2,1,3,3,4,1,0,1,3,7,2,Transformation Digitale,1.5,7,7
26,0,6397,Divorcé(e),Consulting,Tech Lead,1,6,6,5,3,3,2,2,1,1,4,0,0,1,6,1,3,Infra & Cloud,2.0,1,4
50,1,19144,Divorcé(e),Consulting,Directeur Technique,3,28,10,4,1,3,5,2,1,2,3,0,0,2,4,4,1,Infra & Cloud,1.5,1,6
53,1,17584,Marié(e),Consulting,Directeur Technique,3,21,5,3,3,3,4,3,4,2,3,1,0,3,5,3,4,Transformation Digitale,1.5,1,3
42,1,4907,Marié(e),Commercial,Cadre Commercial,1,20,20,16,2,3,2,3,3,3,4,0,0,0,3,1,1,Infra & Cloud,1.5,11,6
29,1,4554,Célibataire,Commercial,Cadre Commercial,1,10,10,7,2,3,2,4,1,2,3,0,0,0,3,2,2,Infra & Cloud,2.0,0,9
55,1,5415,Marié(e),Consulting,Consultant,3,12,10,7,2,3,2,4,4,3,3,1,0,1,4,20,2,Entrepreunariat,1.5,0,8
26,1,4741,Marié(e),Consulting,Manager,1,5,5,3,1,3,2,1,3,3,3,1,0,1,3,11,2,Transformation Digitale,2.0,3,3
37,0,2115,Célibataire,Consulting,Assistant de Direction,1,17,17,12,4,3,1,4,2,3,3,0,0,0,3,1,3,Infra & Cloud,1.5,5,7
44,1,3161,Divorcé(e),Consulting,Consultant,3,19,1,0,4,3,1,3,4,1,4,1,1,1,0,24,3,Infra & Cloud,2.0,0,0
38,1,5745,Divorcé(e),Consulting,Manager,9,10,2,2,4,3,2,4,2,3,3,0,0,1,2,23,4,Infra & Cloud,1.5,1,2
26,1,2373,Divorcé(e),Consulting,Consultant,2,5,3,2,1,3,1,2,4,3,3,1,1,1,2,16,4,Transformation Digitale,1.5,0,2
28,0,3310,Célibataire,Consulting,Assistant de Direction,1,5,5,3,4,3,1,4,4,3,4,0,0,0,3,8,2,Infra & Cloud,1.5,0,2
49,0,18665,Célibataire,Consulting,Directeur Technique,9,22,3,2,3,3,5,1,4,3,3,1,0,0,4,10,4,Infra & Cloud,2.0,1,2
36,1,4485,Célibataire,Consulting,Assistant de Direction,4,10,8,0,3,3,2,2,4,3,3,0,0,0,2,3,3,Entrepreunariat,1.5,7,7
31,0,2789,Divorcé(e),Commercial,Représentant Commercial,1,2,2,2,4,3,1,2,3,2,3,0,0,1,5,5,3,Marketing,2.0,2,2
26,1,5828,Célibataire,Commercial,Cadre Commercial,1,8,8,7,4,2,2,4,2,3,3,1,1,0,0,4,4,Marketing,1.5,7,4
37,1,2326,Marié(e),Consulting,Assistant de Direction,1,4,4,2,2,3,1,4,3,2,3,1,0,3,3,9,3,Transformation Digitale,2.0,1,2
42,0,13525,Marié(e),Commercial,Cadre Commercial,5,23,20,4,3,3,4,2,4,4,3,0,0,1,2,26,3,Marketing,2.0,4,8
18,1,1420,Célibataire,Consulting,Consultant,1,0,0,0,3,3,1,3,3,3,3,0,1,0,2,3,3,Infra & Cloud,1.5,0,0
35,1,8020,Marié(e),Commercial,Cadre Commercial,0,12,11,9,3,3,3,2,3,2,3,0,0,2,3,16,3,Marketing,1.5,6,9
36,1,3688,Marié(e),Consulting,Consultant,4,4,1,0,3,4,1,4,4,3,3,0,0,2,2,18,4,Infra & Cloud,2.0,0,0
51,1,5482,Divorcé(e),Consulting,Tech Lead,5,13,4,1,4,1,2,2,4,3,3,0,0,1,3,2,3,Transformation Digitale,1.5,1,2
41,1,16015,Célibataire,Commercial,Senior Manager,1,22,22,10,4,3,4,2,2,3,3,0,0,0,2,2,4,Infra & Cloud,1.5,0,4
18,0,1200,Célibataire,Commercial,Représentant Commercial,1,0,0,0,4,2,1,3,1,3,3,0,0,0,2,10,3,Transformation Digitale,1.5,0,0
28,1,5661,Célibataire,Consulting,Manager,0,9,8,3,2,4,2,1,3,3,3,0,0,0,2,16,2,Transformation Digitale,1.5,0,7
31,1,6929,Marié(e),Commercial,Cadre Commercial,4,10,8,7,2,4,2,4,2,2,3,0,0,1,3,7,3,Entrepreunariat,1.5,7,7
39,1,9613,Divorcé(e),Consulting,Manager,0,19,18,10,3,4,3,4,1,2,3,0,0,3,5,1,3,Transformation Digitale,1.5,3,7
36,0,5674,Marié(e),Consulting,Consultant,7,11,9,8,2,3,2,2,3,3,3,0,0,1,3,24,4,Infra & Cloud,1.0,0,8
32,1,5484,Marié(e),Commercial,Cadre Commercial,1,13,13,8,4,2,2,3,3,2,3,0,0,1,3,7,3,Infra & Cloud,1.5,4,8
38,0,12061,Marié(e),Consulting,Directeur Technique,3,19,10,8,1,2,3,2,3,3,3,0,0,1,2,25,2,Infra & Cloud,1.5,0,1
58,1,5660,Divorcé(e),Consulting,Manager,2,12,5,3,4,1,2,3,4,3,3,1,0,1,2,1,4,Infra & Cloud,1.0,1,2
31,1,4821,Marié(e),Consulting,Assistant de Direction,0,6,5,2,3,3,1,4,3,3,3,1,0,1,4,5,4,Entrepreunariat,1.5,0,3
31,1,6410,Marié(e),Ressources Humaines,Ressources Humaines,3,9,2,2,1,2,2,1,4,3,3,0,0,0,1,2,3,Ressources Humaines,1.5,1,0
45,1,5210,Divorcé(e),Consulting,Consultant,1,24,24,9,1,3,3,1,1,3,3,0,0,1,2,7,3,Infra & Cloud,2.0,9,11
31,1,2695,Divorcé(e),Consulting,Assistant de Direction,0,3,2,2,3,3,1,4,2,1,3,1,0,1,2,2,4,Infra & Cloud,1.5,2,2
33,0,11878,Marié(e),Consulting,Senior Manager,6,12,10,6,4,3,3,2,2,3,3,0,0,2,2,5,4,Infra & Cloud,2.0,8,8
39,1,17068,Marié(e),Consulting,Senior Manager,1,21,21,9,3,3,4,1,4,3,3,1,0,0,3,10,1,Transformation Digitale,1.5,11,10
43,0,2455,Célibataire,Consulting,Consultant,0,9,8,7,3,3,1,4,1,3,3,0,0,0,5,10,4,Infra & Cloud,2.0,1,7
49,0,13964,Célibataire,Consulting,Manager,7,25,7,1,3,2,4,3,4,3,3,1,0,0,2,1,2,Entrepreunariat,1.5,0,7
52,1,4941,Marié(e),Consulting,Assistant de Direction,2,11,8,2,3,2,2,2,1,2,3,0,1,0,3,8,4,Transformation Digitale,1.5,7,7
27,0,2478,Célibataire,Consulting,Assistant de Direction,1,4,4,3,3,3,1,2,2,2,3,1,0,0,2,5,3,Infra & Cloud,1.5,1,2
32,0,5228,Marié(e),Commercial,Cadre Commercial,1,13,13,12,3,2,2,2,4,3,3,1,0,0,2,8,2,Entrepreunariat,1.5,11,9
27,1,4478,Célibataire,Commercial,Cadre Commercial,1,5,5,4,4,3,2,3,1,3,3,1,0,0,3,2,3,Infra & Cloud,1.5,0,4
31,1,7547,Divorcé(e),Commercial,Cadre Commercial,4,13,7,7,4,3,2,4,4,3,3,0,0,3,3,7,3,Marketing,1.5,1,7
32,0,5055,Célibataire,Consulting,Assistant de Direction,7,10,7,7,1,4,2,4,3,2,3,0,0,0,0,2,4,Transformation Digitale,1.5,0,7
28,1,3464,Marié(e),Consulting,Assistant de Direction,5,5,3,2,1,1,1,4,4,2,3,1,1,0,4,2,4,Transformation Digitale,1.5,2,2
30,0,5775,Marié(e),Consulting,Assistant de Direction,1,11,10,8,4,3,2,4,4,3,3,0,0,2,2,28,2,Transformation Digitale,1.5,1,9
31,0,8943,Marié(e),Consulting,Tech Lead,1,10,10,9,3,2,3,3,1,3,4,0,0,1,2,7,2,Infra & Cloud,2.0,8,9
39,1,19272,Marié(e),Consulting,Senior Manager,1,21,21,9,3,2,5,4,1,3,3,0,0,1,2,7,2,Transformation Digitale,2.0,13,3
39,0,5238,Marié(e),Commercial,Cadre Commercial,4,12,1,0,4,3,2,3,1,2,3,1,1,0,3,3,2,Transformation Digitale,1.5,0,0
33,1,4682,Célibataire,Commercial,Cadre Commercial,3,9,7,7,2,2,2,4,3,2,3,0,0,0,6,10,3,Marketing,2.0,0,1
47,1,18300,Marié(e),Consulting,Directeur Technique,4,21,3,2,4,3,5,3,2,3,3,0,0,1,2,5,5,Infra & Cloud,1.5,1,1
43,0,5257,Divorcé(e),Consulting,Consultant,1,9,9,7,3,2,2,3,2,4,3,0,0,1,3,10,4,Infra & Cloud,2.0,0,0
27,1,6349,Marié(e),Commercial,Cadre Commercial,0,6,5,4,3,3,2,2,4,3,3,1,0,1,0,1,1,Marketing,1.0,1,4
54,0,4869,Célibataire,Consulting,Assistant de Direction,3,20,4,3,4,3,2,3,4,2,3,0,0,0,4,20,4,Infra & Cloud,2.0,0,3
43,0,9985,Marié(e),Consulting,Manager,8,10,1,0,3,3,3,1,1,2,3,0,0,1,1,7,3,Infra & Cloud,1.5,0,0
45,1,3697,Marié(e),Consulting,Assistant de Direction,9,12,10,9,4,3,2,4,1,3,3,0,0,2,3,8,4,Autre,1.5,9,8
40,1,7457,Marié(e),Commercial,Cadre Commercial,2,6,4,3,2,1,2,4,3,2,4,1,0,3,2,1,2,Transformation Digitale,1.5,0,2
29,1,2119,Marié(e),Consulting,Consultant,1,7,7,7,2,1,1,1,4,2,3,1,1,0,4,8,4,Autre,1.5,0,7
29,1,3983,Célibataire,Consulting,Consultant,0,4,3,2,2,2,1,4,3,3,3,0,0,0,2,9,5,Autre,1.5,2,2
30,0,6118,Divorcé(e),Commercial,Cadre Commercial,1,10,10,9,4,2,2,3,3,3,3,0,0,3,2,5,3,Marketing,1.5,1,2
27,0,6214,Marié(e),Commercial,Cadre Commercial,1,8,8,7,2,3,2,2,1,3,3,0,0,1,3,8,4,Marketing,1.5,0,7
37,1,6347,Divorcé(e),Consulting,Tech Lead,7,8,6,2,4,3,2,4,3,2,3,0,0,2,2,5,2,Transformation Digitale,1.5,0,4
38,1,11510,Divorcé(e),Consulting,Directeur Technique,0,12,11,10,3,2,3,4,2,3,3,1,0,1,3,15,2,Infra & Cloud,1.5,2,9
31,0,7143,Célibataire,Consulting,Tech Lead,1,11,11,9,3,3,3,4,3,2,3,1,0,0,2,7,4,Transformation Digitale,1.5,4,10
29,0,8268,Divorcé(e),Commercial,Cadre Commercial,1,7,7,7,4,2,2,2,1,3,3,1,0,2,2,10,1,Marketing,1.5,1,7
35,1,8095,Célibataire,Consulting,Tech Lead,0,17,16,6,3,3,3,2,4,3,3,0,0,0,5,5,4,Entrepreunariat,1.5,0,13
23,1,2904,Divorcé(e),Consulting,Assistant de Direction,1,4,4,2,3,3,1,4,3,2,3,0,0,2,2,26,1,Infra & Cloud,1.5,0,2
41,1,6032,Célibataire,Consulting,Tech Lead,6,8,5,4,4,2,2,2,4,3,3,1,0,0,3,6,3,Transformation Digitale,1.5,1,2
47,1,2976,Célibataire,Commercial,Représentant Commercial,3,5,0,0,2,3,2,3,1,3,3,0,0,0,3,4,1,Transformation Digitale,2.0,0,0
42,0,15992,Célibataire,Consulting,Directeur Technique,2,16,1,0,1,3,4,4,2,3,3,0,0,0,2,23,5,Infra & Cloud,1.5,0,0
29,1,4649,Marié(e),Commercial,Cadre Commercial,1,4,4,3,4,3,2,3,1,2,3,0,0,1,3,2,3,Infra & Cloud,1.0,0,2
42,1,2696,Divorcé(e),Ressources Humaines,Ressources Humaines,0,4,3,2,3,3,1,3,3,3,3,1,0,1,5,2,1,Entrepreunariat,1.5,1,0
32,0,2370,Marié(e),Consulting,Consultant,1,8,8,0,3,3,1,2,3,3,3,0,0,1,4,2,3,Transformation Digitale,1.5,0,7
48,0,12504,Marié(e),Commercial,Senior Manager,3,15,0,0,1,3,3,3,2,1,4,0,0,1,3,29,1,Transformation Digitale,1.5,0,0
37,1,5974,Divorcé(e),Consulting,Assistant de Direction,4,13,7,7,3,4,2,1,1,3,3,1,0,2,2,6,3,Transformation Digitale,1.5,6,7
30,0,4736,Marié(e),Commercial,Cadre Commercial,7,4,2,2,4,3,2,3,2,4,3,1,0,1,2,25,2,Entrepreunariat,1.0,2,2
